gate_id,metric_id,metric_code,metric_name,metric_level,metric_type,current_grain,direction,owner_candidate_from_metric,current_gate_owner,current_gate_status,decision_question,confirmed_owner,signoff_date,definition_version,denominator,approved_grain,exception_rules,evidence_ref,decision_result,boundary_note
signoff_24,SCM-MECE-L3-077,supply_chain_total_cost_rate,"供应链总成本率",L3,derived,"period + channel + country + category + sku",lower_better,"财务/成本 Owner","待确认","未发起","确认成本归集范围和销售额分母","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_27,SCM-MECE-L3-087,inventory_impairment_rate,"库存减值率",L3,derived,"period + warehouse_type + category",lower_better,"财务/成本 Owner","待确认","未发起","确认减值口径与账龄分层","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_3,SCM-MECE-L3-112,plan_attainment_rate,"计划达成率",L3,derived,"plan_id + sku + warehouse + period",higher_better,"计划 Owner","待确认","未发起","确认计划达成的计划类型与完成口径","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_10,SCM-MECE-L3-113,sku_oos_rate,"SKU 缺货率",L3,derived,"channel + country + category + abc_class + period",lower_better,"库存运营 Owner","待确认","未发起","确认SKU缺货判断主键与应可售范围","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_11,SCM-MECE-L3-114,unit_oos_rate,"件数缺货率",L3,derived,"channel + country + sku + forecast_version + period",lower_better,"库存运营 Owner","待确认","未发起","确认缺货件数损失的预测基线","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_12,SCM-MECE-L3-115,gmv_oos_rate,"金额缺货率",L3,derived,"channel + country + sku + forecast_version + period",lower_better,"库存运营 Owner","待确认","未发起","确认缺货金额损失的GMV口径","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_13,SCM-MECE-L3-116,stockout_loss_amount,"断货损失金额",L3,atomic,"channel + country + sku + period",lower_better,"库存运营 Owner","待确认","未发起","确认损失金额采用GMV还是毛利","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_14,SCM-MECE-L3-117,safety_stock_coverage_rate,"安全库存覆盖率",L3,derived,"channel + country + category + abc_class + period",higher_better,"库存运营 Owner","待确认","未发起","确认安全库存阈值版本和ABC分层","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_15,SCM-MECE-L3-118,inventory_sales_match_score,"库存-销售匹配度",L3,composite,"category + channel + period",higher_better,"库存运营 Owner","待确认","未发起","确认库存结构与销售结构的评分权重","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_6,SCM-MECE-L3-119,supplier_top3_purchase_concentration,"TOP3 供应商采购集中度",L3,derived,"category + period",governed_range,"采购与供应商 Owner","待确认","未发起","确认采购金额口径与供应商聚合口径","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_7,SCM-MECE-L3-121,purchase_order_cycle_days,"采购订单周期天数",L3,derived,"po_no + sku + supplier",lower_better,"采购与供应商 Owner","待确认","未发起","确认PO创建、交付、入库完成时间点","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_17,SCM-MECE-L3-122,storage_capacity_utilization_rate,"库容利用率",L3,derived,"warehouse + warehouse_type + period",governed_range,"库存运营 Owner","待确认","未发起","确认库容容量单位、可用库容与冻结库容处理","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_18,SCM-MECE-L3-124,picking_uph,"拣货效率 UPH",L3,derived,"warehouse + picker_group + period",higher_better,"库存运营 Owner","待确认","未发起","确认作业小时、拣货件数和异常订单排除规则","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_20,SCM-MECE-L3-126,transfer_success_rate,"调拨成功率",L3,derived,"source_warehouse + target_warehouse + sku + period",higher_better,"物流运营 Owner","待确认","未发起","确认调拨成功判断、完成窗口和取消单排除规则","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_21,SCM-MECE-L3-127,transfer_cycle_days,"调拨周期天数",L3,derived,"transfer_order_no + sku",lower_better,"物流运营 Owner","待确认","未发起","确认调拨创建、发出、到达、上架节点","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_22,SCM-MECE-L3-128,transfer_quantity_fulfillment_rate,"调拨数量达成率",L3,derived,"transfer_order_no + sku",higher_better,"物流运营 Owner","待确认","未发起","确认确认调拨量与实收量差异处理","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_25,SCM-MECE-L3-131,logistics_cost_rate,"物流成本率",L3,derived,"period + channel + country + category",lower_better,"财务/成本 Owner","待确认","未发起","确认头程、仓储、尾程是否全部纳入","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_28,SCM-MECE-L3-137,unmatched_planned_inventory_qty,"未匹配计划库存数量",L3,derived,"source_sku_key_type + platform + period",lower_better,"数据治理 Owner","待确认","未发起","确认GTIN/MSKU/SKU映射失败规则","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_29,SCM-MECE-L3-138,inventory_sync_delay_minutes,"库存同步延迟分钟数",L3,derived,"source_system + platform + warehouse + period",lower_better,"数据治理 Owner","待确认","未发起","确认来源系统同步时间与任务时间","","","","","","","","",owner_signoff_required_before_provider_or_writeback
signoff_30,SCM-MECE-L3-139,business_default_zero_rate,"业务默认 0 字段占比",L3,derived,"platform + rule_version + period",observe,"数据治理 Owner","待确认","未发起","确认默认0字段是否作为质量问题或业务规则","","","","","","","","",owner_signoff_required_before_provider_or_writeback
