order_issue,voc_theme,user_voice,refund_amt,refund_qty
"平台:AMZ, 国家:FR, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),61.05,1
"平台:AMZ, 国家:UK, 原因:SIZE",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",67.4,2
"平台:AMZ, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",46.7,2
"平台:AMZ, 国家:US, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,44.81,1
"平台:AMZ, 国家:US, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),57.98,2
"平台:AMZ, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",45.43,2
"平台:AMZ, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",65.38,2
"平台:DTC, 国家:DE, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,30.77,2
"平台:DTC, 国家:DE, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",12.27,2
"平台:DTC, 国家:AU, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),19.57,2
"平台:DTC, 国家:AU, 原因:NO_REASON",无理由退货,暂无VOC匹配数据,70.6,2
"平台:AMZ, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",65.79,2
"平台:AMZ, 国家:UK, 原因:NO_REASON",无理由退货,暂无VOC匹配数据,70.92,2
"平台:AMZ, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",32.2,1
"平台:AMZ, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),68.45,2
"平台:AMZ, 国家:US, 原因:NO_REASON",无理由退货,暂无VOC匹配数据,60.23,2
"平台:AMZ, 国家:US, 原因:DEFECTIVE",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),60.31,1
"平台:AMZ, 国家:US, 原因:NO_REASON",无理由退货,暂无VOC匹配数据,19.59,2
"平台:AMZ, 国家:US, 原因:SIZE",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",11.57,1
"平台:AMZ, 国家:US, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",48.23,2
"平台:DTC, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),68.57,1
"平台:DTC, 国家:US, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),74.13,1
"平台:AMZ, 国家:US, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,65.61,2
"平台:AMZ, 国家:UK, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),30.29,2
"平台:AMZ, 国家:US, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),12.51,1
"平台:DTC, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",73.88,2
"平台:DTC, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),35.25,1
"平台:AMZ, 国家:FR, 原因:DEFECTIVE",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),29.29,1
"平台:AMZ, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",59.35,2
"平台:AMZ, 国家:UK, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),53.13,2
"平台:DTC, 国家:DE, 原因:NO_REASON",无理由退货,暂无VOC匹配数据,66.1,2
"平台:AMZ, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",20.16,2
"平台:DTC, 国家:US, 原因:NO_REASON",无理由退货,暂无VOC匹配数据,45.4,2
"平台:DTC, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),68.21,1
"平台:AMZ, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),51.24,2
"平台:AMZ, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",48.21,1
"平台:DTC, 国家:US, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),39.79,2
"平台:AMZ, 国家:US, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,10.09,2
"平台:AMZ, 国家:US, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),42.01,2
"平台:AMZ, 国家:US, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),65.34,1
"平台:AMZ, 国家:UK, 原因:SHIPPING",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",36.41,1
"平台:AMZ, 国家:UK, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),20.07,2
"平台:DTC, 国家:US, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),41.07,2
"平台:AMZ, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),78.02,2
"平台:AMZ, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",69.76,2
"平台:DTC, 国家:US, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",38.3,2
"平台:DTC, 国家:DE, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),25.78,2
"平台:DTC, 国家:DE, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),77.59,1
"平台:AMZ, 国家:UK, 原因:QUALITY",产品质量,"[AMZ UK] Excellent quality, worth the price! (⭐5)",77.86,1
"平台:AMZ, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",37.07,2
"平台:AMZ, 国家:US, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",39.7,1
"平台:AMZ, 国家:DE, 原因:COLOR, 部分退款",颜色/外观,[AMZ DE] Farbe sieht anders aus als auf dem Foto. Sehr enttäuscht. (⭐1),38.61,1
"平台:AMZ, 国家:UK, 原因:SIZE, 部分退款",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",37.42,1
"平台:DTC, 国家:DE, 原因:SHIPPING",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",79.09,2
"平台:DTC, 国家:DE, 原因:COLOR, 部分退款",颜色/外观,[AMZ DE] Farbe sieht anders aus als auf dem Foto. Sehr enttäuscht. (⭐1),49.07,1
"平台:AMZ, 国家:UK, 原因:SIZE, 部分退款",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",40.27,1
"平台:DTC, 国家:UK, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),37.65,1
"平台:DTC, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",44.9,1
"平台:AMZ, 国家:DE, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),66.3,2
"平台:AMZ, 国家:AU, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),52.72,2
"平台:AMZ, 国家:AU, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,28.44,1
"平台:AMZ, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",27.97,1
"平台:AMZ, 国家:FR, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",54.93,1
"平台:AMZ, 国家:FR, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",29.6,2
"平台:AMZ, 国家:US, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,74.27,1
"平台:AMZ, 国家:US, 原因:SIZE",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",25.22,1
"平台:DTC, 国家:US, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,35.14,1
"平台:AMZ, 国家:UK, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,34.51,2
"平台:AMZ, 国家:UK, 原因:SIZE",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",50.82,1
"平台:DTC, 国家:UK, 原因:SIZE, 部分退款",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",17.74,1
"平台:DTC, 国家:UK, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),47.76,2
"平台:AMZ, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",46.98,2
"平台:DTC, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",78.96,1
"平台:AMZ, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),35.98,2
"平台:AMZ, 国家:US, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),62.99,2
"平台:DTC, 国家:US, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",38.43,2
"平台:DTC, 国家:US, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",43.57,2
"平台:DTC, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",39.62,1
"平台:AMZ, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),75.57,2
"平台:DTC, 国家:UK, 原因:SHIPPING",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",52.66,1
"平台:AMZ, 国家:UK, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,31.88,2
"平台:AMZ, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",51.31,1
"平台:AMZ, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),33.18,2
"平台:AMZ, 国家:US, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,75.21,1
"平台:AMZ, 国家:DE, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",43.59,1
"平台:AMZ, 国家:DE, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),69.48,2
"平台:DTC, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),43.66,2
"平台:AMZ, 国家:UK, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),52.71,2
"平台:AMZ, 国家:UK, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),51.73,2
"平台:DTC, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),76.88,2
"平台:DTC, 国家:UK, 原因:SIZE, 部分退款",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",72.68,2
"平台:AMZ, 国家:UK, 原因:SIZE",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",64.54,2
"平台:AMZ, 国家:DE, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",24.49,1
"平台:DTC, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),41.55,1
"平台:AMZ, 国家:US, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",48.74,2
"平台:DTC, 国家:FR, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",73.33,2
"平台:DTC, 国家:FR, 原因:SHIPPING",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",65.13,2
"平台:DTC, 国家:US, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,35.82,2
"平台:DTC, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),71.04,2
"平台:AMZ, 国家:DE, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),12.07,2
"平台:AMZ, 国家:DE, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,56.07,1
"平台:DTC, 国家:DE, 原因:SIZE",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",79.04,1
"平台:AMZ, 国家:DE, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),35.86,1
"平台:AMZ, 国家:DE, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),74.92,2
"平台:AMZ, 国家:DE, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),21.83,1
"平台:AMZ, 国家:FR, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),22.18,2
"平台:AMZ, 国家:US, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",17.34,2
"平台:AMZ, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",14.29,2
"平台:AMZ, 国家:UK, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),59.66,2
"平台:AMZ, 国家:UK, 原因:QUALITY, 部分退款",产品质量,"[AMZ UK] Excellent quality, worth the price! (⭐5)",78.13,2
"平台:AMZ, 国家:UK, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),20.62,1
"平台:AMZ, 国家:AU, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),36.67,2
"平台:AMZ, 国家:AU, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",43.15,2
"平台:AMZ, 国家:US, 原因:SHIPPING",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",45.67,1
