page,module,story_question,chart_or_component,primary_table,grain,required_fields,metric_logic,filters,drilldown_key,readiness,data_owner_dependency
区域渠道妥投分析,妥投阶梯,哪些国家渠道在 3/5/7/10/12 天掉速,妥投阶梯与渠道矩阵,agg_delivery_channel_daily,日期+国家+物流渠道,biz_date;country_code;logistics_channel;shipped_package_count;tms_signed_package_count;delivery_3d_rate;delivery_5d_rate;delivery_7d_rate;delivery_10d_rate;delivery_12d_rate,妥投率=TMS 签收时间-发货时间小于阈值的包裹数/发货包裹数,付款时间;国家;物流方式;仓库,country_code+logistics_channel,needs_tms_contract,TMS sign_time 和 package_status
区域渠道妥投分析,未妥投追踪,超期包裹应该推给哪个渠道或仓库,超期未妥投明细,fact_order_package_delivery_daily,包裹/跟踪号,track_order_code;erp_code;warehouse_code;logistics_channel;send_time;tms_sign_time;tms_package_status;country_code,overdue_undelivered_flag=send_time超过12天且未签收,付款时间;国家;物流方式;仓库,track_order_code,needs_tms_contract,TMS 与 ERP 包裹映射
商品履约分布,SKU 慢发,哪些 SKU 长期慢发,SKU 慢发排行,agg_product_fulfillment_daily,日期+SKU+SPU+品类+GTM,biz_date;sku_code;spu_code;category_level_3;gtm_group;product_qty;shipped_qty;ship_rate_3d;ship_rate_5d;ship_rate_7d;stockout_type,ship_rate_nd=阈值内发货商品数量/商品总数量,付款时间;SKU;产品名称;品类;GTM组;仓库,sku_code,contract_ready_sample_only,SKU 主数据与商品行事实表
商品履约分布,商品风险池,慢发 SKU 是否由缺货映射或虚拟商品标识导致,商品风险池,agg_product_fulfillment_daily,日期+SKU+风险类型,biz_date;sku_code;risk_type;risk_items;risk_orders;virtual_flag;msku_mapping_status,按风险商品行数排序并保留订单下钻,付款时间;SKU;仓库;risk_type,sku_code+risk_type,new_contract_required,SKU 映射质量字段
发货效能,仓型负载,小包仓和海外仓是否承压,仓型堆叠条,agg_shipping_efficiency_daily,日期+仓库+仓库类型,biz_date;warehouse_code;warehouse_type;shipment_orders;shipment_items;small_packet_orders;overseas_orders;mark_shipped_failed_orders,仓型占比=仓型发货单量/总发货单量,付款时间;仓库;仓库类型;物流方式,warehouse_code,contract_ready_sample_only,仓库维表和标发状态
发货效能,发货能力结构,订单件数压力是否高于订单数压力,发货负载归因,agg_shipping_efficiency_daily,日期+仓库类型+SKU,biz_date;warehouse_type;sku_code;shipment_orders;shipment_items;avg_processing_load;mark_shipped_failed_orders,同时展示订单和商品件数避免只看订单低估仓内作业,付款时间;仓库;SKU;仓库类型,warehouse_type+sku_code,new_contract_required,仓库作业负载字段
审核效能,审核人机拆分,系统自动审核是否被误算成人工人效,系统/人工审核结构,agg_audit_efficiency_daily,日期+审核方式+审核人,biz_date;audit_actor_type;audit_user;audit_orders;avg_audit_interval_h;audit_sla_24h_rate,先按 audit_actor_type 分系统自动和人工再看人工审核人,付款时间;审核方式;审核人;国家,audit_actor_type+audit_user,needs_audit_event_contract,审核事件表 audit_actor_type
审核效能,人工审核瓶颈,哪些人工审核人或班次导致时效慢,人工审核时效排行,fact_audit_event_daily,审核事件,audit_event_id;erp_code;audit_actor_type;audit_user;audit_time;pay_time;audit_action_type;is_latest_audit,avg_audit_interval_h=latest_audit_time-pay_time;多次审核用 latest 标记,付款时间;审核人;审核方式;订单状态,audit_event_id,needs_audit_event_contract,多次审核日志和动作类型
异常订单问题件,问题件闭环,异常状态如何转成可处理的问题件类型,问题件帕累托,agg_order_issue_daily,日期+问题件类型+责任域,biz_date;issue_type;issue_orders;issue_share;owner_domain;next_action_status,issue_share=issue_orders/sum(issue_orders),付款时间;异常标识;国家;仓库;SKU,issue_type+owner_domain,new_contract_required,问题件类型映射和 owner 字段
异常订单问题件,缺货联动,缺货问题件是否进入缺货三分法,问题件到缺货联动,agg_order_issue_daily,日期+问题件类型+缺货类型,biz_date;issue_type;stockout_type;issue_orders;linked_stockout_orders,stockout_type 仅限订单缺货;库存缺货;预测缺货,付款时间;异常标识;缺货类型,issue_type+stockout_type,new_contract_required,订单状态到缺货类型映射
未发货预警,超期治理,哪些已付款订单超过 SLA 仍未发货,超期分层表,agg_unshipped_warning_daily,日期+超期层级+责任域,biz_date;overdue_bucket;unshipped_orders;unshipped_share;warehouse_code;sku_code;issue_type;owner_domain,overdue_bucket=7-10天;10-15天;15天以上且 send_time 为空,付款时间;仓库;SKU;异常标识;责任域,overdue_bucket+owner_domain,contract_ready_sample_only,责任域和 Owner 规则
未发货预警,风险池,哪些 SKU 仓库组合应今日处理,SKU 仓库风险池,agg_unshipped_warning_daily,日期+SKU+仓库+超期层级,biz_date;sku_code;warehouse_code;overdue_bucket;unshipped_orders;available_qty;mark_shipped_failed_orders,按超期天数和数量排序输出 P0 清单,付款时间;仓库;SKU;超期层级,sku_code+warehouse_code,needs_inventory_join,库存可售与标发状态
缺货分析,缺货三分,缺货来自订单库存还是预测,三类缺货卡,fact_stockout_signal_daily,日期+缺货类型+SKU+仓库,biz_date;stockout_type;sku_code;warehouse_code;order_stockout_qty;available_qty;in_transit_qty;forecast_cover_days,stockout_type 必须枚举订单缺货;库存缺货;预测缺货,付款时间;SKU;仓库;缺货类型,stockout_type+sku_code,needs_inventory_forecast_contract,库存快照和预测数据
缺货分析,SKU 风险,哪些 SKU 需要补货调拨或履约处理,SKU 缺货风险池,fact_stockout_signal_daily,日期+SKU+仓库+预测周期,biz_date;sku_code;warehouse_code;available_qty;reserved_qty;in_transit_qty;forecast_demand_qty;forecast_cover_days;target_cover_days,预测缺货=forecast_cover_days低于阈值;库存缺货=available_qty低于阈值,SKU;仓库;缺货类型;预测周期,sku_code+warehouse_code,needs_inventory_forecast_contract,库存与预测 owner 确认阈值
跨区发货,仓网错配,目的地和发货仓错配是否影响时效,跨区矩阵,agg_cross_region_fulfillment_daily,日期+目的国家+发货仓国家+仓库,biz_date;destination_country_code;warehouse_country_code;warehouse_code;cross_region_orders;total_orders;cross_region_rate;delivery_10d_rate,cross_region_rate=目的国家与发货仓国家不一致订单/总订单,付款时间;目的国家;发货仓;仓库;物流方式,destination_country_code+warehouse_code,new_contract_required,仓库国家维表和目的地字段
跨区发货,成本占位,跨区是否解释成本和时效但成本不进核心 KPI,跨区时效成本对比,agg_cross_region_fulfillment_daily,日期+目的国家+发货仓国家,biz_date;destination_country_code;warehouse_country_code;cross_region_orders;delivery_10d_rate;avg_shipping_cost_placeholder,平均发货成本 V0 只占位不参与核心诊断排序,付款时间;目的国家;发货仓;物流方式,destination_country_code+warehouse_country_code,cost_placeholder_only,成本 owner 后续提供物流成本宽表
故事线PRD数据表,数据表清单,图表是否能追溯到事实表和聚合表,数据表契约清单,fulfillment_source_table_contract_20260626.csv,表级契约,table_name;grain;table_type;required_fields;partition_key;refresh_frequency;source_system;readiness,PRD 页展示表级契约并区分事实表聚合表维表,table_type;readiness,table_name,ready_as_design_contract,数据 owner 逐表确认字段和刷新频率
